file,line,column,type,code,message
includes/certificates/providers/class-provider-digitalocean.php,71,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""DigitalOcean: no zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-hetzner.php,77,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Hetzner: no zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-google-cloud.php,93,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Google Cloud DNS: no managed zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-google-cloud.php,146,81,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$response'."
includes/certificates/providers/class-provider-google-cloud.php,151,80,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found 'substr'."
includes/certificates/providers/class-provider-netlify.php,76,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Netlify DNS: no zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-dreamhost.php,63,42,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""DreamHost {$cmd} failed: {$reason}""'."
includes/certificates/providers/class-provider-route53.php,21,26,ERROR,PluginCheck.CodeAnalysis.Offloading.OffloadedContent,"Offloading images, js, css, and other scripts to your servers or any remote service is disallowed."
includes/certificates/providers/class-provider-route53.php,53,6,ERROR,PluginCheck.CodeAnalysis.Offloading.OffloadedContent,"Offloading images, js, css, and other scripts to your servers or any remote service is disallowed."
includes/certificates/providers/class-provider-route53.php,74,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Route 53: no hosted zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-joker.php,74,77,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found 'substr'."
includes/certificates/providers/class-provider-powerdns.php,93,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""PowerDNS: no zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-scaleway.php,92,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Scaleway: no DNS zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-netcup.php,101,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""netcup: no DNS zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-netcup.php,145,42,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""netcup {$action} failed: ""'."
includes/certificates/providers/class-provider-netcup.php,145,72,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '(string)'."
includes/certificates/providers/class-provider-cloudflare.php,75,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Cloudflare: no zone found for {$fqdn}. Check the token's zone scope.""'."
includes/certificates/providers/class-provider-inwx.php,81,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""INWX: no zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-inwx.php,108,69,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$response'."
includes/certificates/providers/class-provider-inwx.php,122,42,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""INWX {$method} failed (code {$code}): ""'."
includes/certificates/providers/class-provider-inwx.php,122,85,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '(string)'."
includes/certificates/providers/class-provider-vercel.php,75,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Vercel: no domain found for {$fqdn}.""'."
includes/certificates/providers/class-provider-linode.php,77,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Linode: no domain found for {$fqdn}.""'."
includes/certificates/providers/class-provider-ovh.php,90,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""OVH: no zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-alidns.php,75,42,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Alibaba Cloud DNS: unable to resolve the zone for {$fqdn}.""'."
includes/certificates/providers/class-provider-dynu.php,69,42,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Dynu: no root domain found for {$fqdn}.""'."
includes/certificates/providers/class-provider-njalla.php,75,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Njalla: no domain found for {$fqdn}.""'."
includes/certificates/providers/class-provider-njalla.php,98,42,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Njalla {$method} failed: ""'."
includes/certificates/providers/class-provider-njalla.php,98,72,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '(string)'."
includes/certificates/providers/class-provider-ns1.php,67,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""NS1: no zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-dnsimple.php,88,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""DNSimple: no zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-namecheap.php,96,128,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'."
includes/certificates/providers/class-provider-namecheap.php,134,74,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'."
includes/certificates/providers/class-provider-namecheap.php,159,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Namecheap: no manageable domain found for {$fqdn}.""'."
includes/certificates/providers/class-provider-azure.php,102,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Azure DNS: no zone found for {$fqdn} in the configured resource group.""'."
includes/certificates/providers/class-provider-azure.php,120,80,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$response'."
includes/certificates/providers/class-provider-azure.php,125,79,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found 'substr'."
includes/certificates/providers/class-provider-godaddy.php,78,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""GoDaddy: no domain found for {$fqdn}.""'."
